Time,Process_Time [s],State,Temperature [Centigrade]
Thu Feb 16 14:41:46 2017,1,Initialization,24.0
Thu Feb 16 14:41:46 2017,2,Initialization,24.0
Thu Feb 16 14:41:46 2017,3,Initialization,24.0
Thu Feb 16 14:41:46 2017,4,Initialization,23.0
Thu Feb 16 14:41:47 2017,5,Initialization,24.0
Thu Feb 16 14:41:47 2017,6,Initialization,24.0
Thu Feb 16 14:41:47 2017,7,Initialization,24.0
Thu Feb 16 14:41:47 2017,8,Initialization,24.0
Thu Feb 16 14:41:48 2017,9,Initialization,24.0
Thu Feb 16 14:41:48 2017,10,Initialization,24.0
Thu Feb 16 14:41:48 2017,11,Initialization,24.0
Thu Feb 16 14:41:48 2017,12,Initialization,24.0
Thu Feb 16 14:41:49 2017,13,Initialization,23.0
Thu Feb 16 14:41:49 2017,14,Initialization,24.0
Thu Feb 16 14:41:49 2017,15,Initialization,24.0
Thu Feb 16 14:41:49 2017,16,Initialization,24.0
Thu Feb 16 14:41:50 2017,17,Initialization,24.0
Thu Feb 16 14:41:50 2017,18,Initialization,24.0
Thu Feb 16 14:41:50 2017,19,Initialization,24.0
Thu Feb 16 14:41:50 2017,20,Initialization,24.0
Thu Feb 16 14:41:51 2017,21,Initialization,24.0
Thu Feb 16 14:41:51 2017,22,Initialization,24.0
Thu Feb 16 14:41:51 2017,23,Initialization,23.0
Thu Feb 16 14:41:51 2017,24,Initialization,24.0
Thu Feb 16 14:41:52 2017,25,Initialization,24.0
Thu Feb 16 14:41:52 2017,26,Initialization,24.0
Thu Feb 16 14:41:52 2017,27,Initialization,24.0
Thu Feb 16 14:41:52 2017,28,Initialization,24.0
Thu Feb 16 14:41:53 2017,29,Initialization,24.0
Thu Feb 16 14:41:53 2017,30,Initialization,24.0
Thu Feb 16 14:41:53 2017,31,Initialization,24.0
Thu Feb 16 14:41:53 2017,32,Initialization,24.0
Thu Feb 16 14:41:54 2017,33,Initialization,23.0
